period,date,site,diver,tag,frond,SUB_SFC,length_m,stipe_weight,blade_weight,section_weight,frond_length,frond_weight,C_NB,Notes,
2016-Aug,2016-08-11,Westbeach,OP,1915,1,NA,NA,NA,NA,NA,1.26,0.16,NA,,
2016-Aug,2016-08-11,Westbeach,OP,1915,2,NA,NA,NA,NA,NA,4.13,0.7,NA,,
2016-Aug,2016-08-11,Westbeach,OP,1837,1,NA,NA,NA,NA,NA,4.38,1.08,NA,Not entire plant made it from underwater to boat,
2016-Aug,2016-08-11,Westbeach,OP,1837,2,NA,NA,NA,NA,NA,8.26,2.02,NA,Not entire plant made it from underwater to boat,
2016-Aug,2016-08-11,Westbeach,OP,1837,3,NA,NA,NA,NA,NA,2,0.41,NA,Not entire plant made it from underwater to boat,
2016-Aug,2016-08-11,Westbeach,OP,2121,1,NA,NA,NA,NA,NA,8.44,0.63,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2121,2,NA,NA,NA,NA,NA,1.68,0.26,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2121,3,NA,NA,NA,NA,NA,8.42,1.39,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2121,4,NA,NA,NA,NA,NA,4.14,NA,NA,no weight recorded,
2016-Aug,2016-08-11,Westbeach,OP,2121,5,NA,NA,NA,NA,NA,10.8,1.036,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2121,6,NA,NA,NA,NA,NA,9.02,0.68,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2121,7,NA,NA,NA,NA,NA,5.86,1.01,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2121,8,NA,NA,NA,NA,NA,3.7,0.69,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2121,9,NA,NA,NA,NA,NA,1.42,0.26,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2121,10,NA,NA,NA,NA,NA,10.48,0.73,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2121,11,NA,NA,NA,NA,NA,1.13,0.2,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2121,12,NA,NA,NA,NA,NA,0.73,0.06,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2035,1,NA,NA,NA,NA,NA,5.23,1.14,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2035,2,NA,NA,NA,NA,NA,6.92,1.2,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2035,3,NA,NA,NA,NA,NA,2.53,0.56,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2005,1,NA,NA,NA,NA,NA,4.1,1.08,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2005,2,NA,NA,NA,NA,NA,3.55,0.89,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2005,3,NA,NA,NA,NA,NA,8.04,1.73,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2005,4,NA,NA,NA,NA,NA,5.21,1.44,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2005,5,NA,NA,NA,NA,NA,6.49,1.9,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2005,6,NA,NA,NA,NA,NA,5.98,1.85,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2005,7,NA,NA,NA,NA,NA,9.58,2.5,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2005,8,NA,NA,NA,NA,NA,8.18,2.01,C,,
2016-Aug,2016-08-11,Westbeach,OP,2005,9,NA,NA,NA,NA,NA,10.35,1.53,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2005,10,NA,NA,NA,NA,NA,4.31,1.21,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2005,11,NA,NA,NA,NA,NA,9.81,0.82,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2005,12,NA,NA,NA,NA,NA,10.53,1.68,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2005,13,NA,NA,NA,NA,NA,2.55,0.41,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2005,14,NA,NA,NA,NA,NA,1.01,0.21,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2005,15,NA,NA,NA,NA,NA,1.19,0.12,NA,weight is off,
2016-Aug,2016-08-11,Westbeach,OP,2005,16,NA,NA,NA,NA,NA,1.09,0.25,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2005,17,NA,NA,NA,NA,NA,0.76,0.18,NA,,
2016-Aug,2016-08-11,Westbeach,OP,2005,NA,NA,NA,NA,NA,NA,NA,1.73,NA,extra biomass for plant,
2016-Aug,2016-08-12,Triquet,OP,1968,1,NA,NA,NA,NA,NA,1.38,0.42,NA,,
2016-Aug,2016-08-12,Triquet,OP,1968,2,NA,NA,NA,NA,NA,2.89,0.63,NA,,
2016-Aug,2016-08-12,Triquet,OP,1968,3,NA,NA,NA,NA,NA,2.39,0.62,NA,,
2016-Aug,2016-08-12,Triquet,OP,1968,4,NA,NA,NA,NA,NA,2.65,0.11,NB,,
2016-Aug,2016-08-12,Triquet,OP,1968,5,NA,NA,NA,NA,NA,2.91,0.12,NB,,
2016-Aug,2016-08-12,Triquet,OP,1968,6,NA,NA,NA,NA,NA,0.28,0.07,NA,,
2016-Aug,2016-08-12,Triquet,OP,1968,7,NA,NA,NA,NA,NA,0.19,0.04,NA,,
2016-Aug,2016-08-12,Triquet,OP,1880,1,NA,NA,NA,NA,NA,4.5,0.77,NA,,
2016-Aug,2016-08-12,Triquet,OP,1880,2,NA,NA,NA,NA,NA,2.21,0.71,NA,,
2016-Aug,2016-08-12,Triquet,OP,1880,3,NA,NA,NA,NA,NA,4.72,0.45,NB,,
2016-Aug,2016-08-12,Triquet,OP,1884,1,NA,NA,NA,NA,NA,0.97,0.33,NA,,
2016-Aug,2016-08-12,Triquet,OP,1884,2,NA,NA,NA,NA,NA,3.5,1.42,NA,,
2016-Aug,2016-08-12,Triquet,OP,1884,3,NA,NA,NA,NA,NA,4.84,0.99,NA,,
2016-Aug,2016-08-12,Triquet,OP,1884,4,NA,NA,NA,NA,NA,1.63,0.47,NA,,
2016-Aug,2016-08-12,Triquet,OP,1884,5,NA,NA,NA,NA,NA,2.7,0.15,C/NB,,
2016-Aug,2016-08-12,Triquet,OP,1884,6,NA,NA,NA,NA,NA,2.52,0.5,NA,,
2016-Aug,2016-08-12,Triquet,OP,1884,7,NA,NA,NA,NA,NA,1.56,0.03,C/NB,,
2016-Aug,2016-08-12,Triquet,OP,1884,8,NA,NA,NA,NA,NA,5.01,0.29,NA,,
2016-Aug,2016-08-12,Triquet,OP,1884,9,NA,NA,NA,NA,NA,6.08,0.71,NB,,
2016-Aug,2016-08-12,Triquet,OP,1884,10,NA,NA,NA,NA,NA,3.23,0.83,NA,,
2016-Aug,2016-08-12,Triquet,OP,1884,11,NA,NA,NA,NA,NA,1.09,0.09,NA,,
